地区,count,region
北京,659,行业区域分布
天津,291,行业区域分布
河北,1265,行业区域分布
山西,546,行业区域分布
内蒙古,718,行业区域分布
辽宁,1633,行业区域分布
吉林,1299,行业区域分布
黑龙江,1171,行业区域分布
上海,670,行业区域分布
江苏,2286,行业区域分布
浙江,1472,行业区域分布
安徽,1445,行业区域分布
福建,346,行业区域分布
江西,1378,行业区域分布
山东,1883,行业区域分布
河南,1280,行业区域分布
湖北,1615,行业区域分布
湖南,2586,行业区域分布
广东,1598,行业区域分布
广西,429,行业区域分布
海南,32,行业区域分布
重庆,730,行业区域分布
四川,2386,行业区域分布
贵州,886,行业区域分布
云南,455,行业区域分布
西藏,20,行业区域分布
陕西,565,行业区域分布
甘肃,239,行业区域分布
青海,46,行业区域分布
宁夏,95,行业区域分布
新疆,267,行业区域分布
1000以上,178,养老院行业企业规模及机构数量
501-1000,298,养老院行业企业规模及机构数量
301-500,549,养老院行业企业规模及机构数量
201-300,729,养老院行业企业规模及机构数量
101-200,229,养老院行业企业规模及机构数量
50-100,22879,养老院行业企业规模及机构数量
50以内,249,养老院行业企业规模及机构数量
